Date_Short,Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H,V_SPREAD_OPEN,V_SPREAD_CLOSE,TOTAL_OPEN,TOTAL_CLOSE,V_2H_SPREAD,2H_TOTAL
126,20220126,547,V,Dallas,40,28,30,34,132,3.5,5,-180,0.5,3.5,5,216,217.5,0.5,106
126,20220126,548,H,Portland,25,34,22,31,112,216,217.5,160,106,3.5,5,216,217.5,0.5,106
126,20220126,587,V,Denver,29,25,42,28,124,219,5.5,-210,6,2.5,5.5,219,219,6,106.5
126,20220126,588,H,Brooklyn,28,37,26,27,118,2.5,219,180,106.5,2.5,5.5,219,219,6,106.5
126,20220126,589,V,Toronto,27,23,32,23,105,220.5,220,160,2.5,2.5,4.5,220.5,220,2.5,107.5
126,20220126,590,H,Chicago,31,36,24,20,111,2.5,4.5,-180,107.5,2.5,4.5,220.5,220,2.5,107.5
127,20220127,549,V,LALakers,22,26,20,19,87,217.5,216,200,105.5,2,6,217.5,216,2.5,105.5
127,20220127,550,H,Philadelphia,32,22,34,17,105,2,6,-240,2.5,2,6,217.5,216,2.5,105.5
127,20220127,551,V,Minnesota,29,32,20,34,115,228,229.5,200,112.5,5.5,6.5,228,229.5,6.5,112.5
127,20220127,552,H,GoldenState,29,28,38,29,124,5.5,6.5,-240,6.5,5.5,6.5,228,229.5,6.5,112.5
128,20220128,553,V,LALakers,21,28,36,29,114,228.5,226,340,109.5,7,9.5,228.5,226,0.5,109.5
128,20220128,554,H,Charlotte,31,34,22,30,117,7,9.5,-410,0.5,7,9.5,228.5,226,0.5,109.5
128,20220128,555,V,Detroit,19,32,24,28,103,211,215.5,145,3,2.5,3.5,211,215.5,3,104.5
128,20220128,556,H,Orlando,39,28,25,27,119,2.5,3.5,-165,104.5,2.5,3.5,211,215.5,3,104.5
128,20220128,557,V,Boston,20,27,30,15,92,218.5,217.5,115,3.5,2,1.5,218.5,217.5,3.5,111.5
128,20220128,558,H,Atlanta,32,30,18,28,108,2,1.5,-135,111.5,2,1.5,218.5,217.5,3.5,111.5
128,20220128,559,V,LAClippers,19,26,35,34,114,208.5,208.5,310,107.5,8,8.5,208.5,208.5,1,107.5
128,20220128,560,H,Miami,28,29,39,25,121,8,8.5,-370,1,8,8.5,208.5,208.5,1,107.5
128,20220128,561,V,Portland,32,34,25,34,125,2,2.5,-150,114.5,2,2.5,232.5,235,2.5,114.5
128,20220128,562,H,Houston,20,33,32,25,110,232.5,235,130,2.5,2,2.5,232.5,235,2.5,114.5
128,20220128,563,V,Utah,30,21,27,31,109,224.5,225,190,115.5,3,5,224.5,225,0.5,115.5
128,20220128,564,H,Memphis,31,28,29,31,119,3,5,-220,0.5,3,5,224.5,225,0.5,115.5
128,20220128,565,V,Indiana,29,22,22,27,113,215,1.5,-130,1,0,1.5,215,222.5,1,108
128,20220128,566,H,OklahomaCity,30,24,26,20,110,0,222.5,110,108,0,1.5,215,222.5,1,108
128,20220128,567,V,Chicago,35,33,23,31,122,2,232,110,118.5,2,2,228,232,2,118.5
128,20220128,568,H,SanAntonio,29,34,35,33,131,228,2,-130,2,2,2,228,232,2,118.5
128,20220128,569,V,Minnesota,32,34,27,31,124,230.5,228.5,320,111,9,8,230.5,228.5,2.5,111
128,20220128,570,H,Phoenix,40,34,26,34,134,9,8,-380,2.5,9,8,230.5,228.5,2.5,111
128,20220128,571,V,NewYork,30,33,25,20,108,214,216.5,320,105.5,9.5,9,214,216.5,4.5,105.5
128,20220128,572,H,Milwaukee,39,28,26,30,123,9.5,9,-380,4.5,9.5,9,214,216.5,4.5,105.5
128,20220128,591,V,Denver,26,24,36,30,116,4.5,4,-165,2.5,4.5,4,214.5,222.5,2.5,107
128,20220128,592,H,NewOrleans,17,31,30,27,105,214.5,222.5,145,107,4.5,4,214.5,222.5,2.5,107
129,20220129,501,V,Boston,27,25,26,29,107,5.5,6.5,-240,109.5,5.5,6.5,213.5,215.5,1,109.5
129,20220129,502,H,NewOrleans,15,19,36,27,97,213.5,215.5,200,1,5.5,6.5,213.5,215.5,1,109.5
129,20220129,503,V,Indiana,23,37,20,25,105,216,216.5,425,106,10,10,216,216.5,2.5,106
129,20220129,504,H,Dallas,34,38,32,28,132,10,10,-550,2.5,10,10,216,216.5,2.5,106
129,20220129,505,V,Sacramento,31,30,22,18,101,221.5,218.5,425,106.5,10.5,10.5,221.5,218.5,9.5,106.5
129,20220129,506,H,Philadelphia,27,23,31,22,103,10.5,10.5,-550,9.5,10.5,10.5,221.5,218.5,9.5,106.5
129,20220129,507,V,Washington,15,26,31,23,95,227,228,190,2.5,5.5,6,227,228,2.5,110
129,20220129,508,H,Memphis,30,33,24,28,115,5.5,6,-220,110,5.5,6,227,228,2.5,110
129,20220129,509,V,Toronto,28,31,26,15,124,208,212,125,102,5,2.5,208,212,2.5,102
129,20220129,510,H,Miami,27,26,22,25,120,5,2.5,-145,2.5,5,2.5,208,212,2.5,102
129,20220129,511,V,Brooklyn,20,27,29,30,106,232,226,370,109.5,5.5,10.5,232,226,3.5,109.5
129,20220129,512,H,GoldenState,31,23,24,32,110,5.5,10.5,-440,3.5,5.5,10.5,232,226,3.5,109.5
130,20220130,513,V,LALakers,33,38,30,20,121,226,224,250,108,7.5,7.5,226,224,7,108
130,20220130,514,H,Atlanta,34,28,29,38,129,7.5,7.5,-300,7,7.5,7.5,226,224,7,108
130,20220130,515,V,LAClippers,24,27,33,31,115,225,226,200,115,6.5,6,225,226,6.5,115
130,20220130,516,H,Charlotte,25,22,29,14,90,6.5,6,-240,6.5,6.5,6,225,226,6.5,115
130,20220130,517,V,Portland,35,30,27,24,116,229,228,180,111,6.5,5,229,228,0.5,111
130,20220130,518,H,Chicago,29,44,31,26,130,6.5,5,-210,0.5,6.5,5,229,228,0.5,111
130,20220130,519,V,Cleveland,29,26,33,17,105,8,7.5,-330,3,8,7.5,211.5,207.5,3,101
130,20220130,520,H,Detroit,24,25,35,31,115,211.5,207.5,270,101,8,7.5,211.5,207.5,3,101
130,20220130,521,V,Denver,33,32,38,33,136,227,232,210,113.5,6.5,6.5,227,232,6,113.5
130,20220130,522,H,Milwaukee,30,27,24,19,100,6.5,6.5,-250,6,6.5,6.5,227,232,6,113.5
130,20220130,523,V,Dallas,34,25,29,20,108,6.5,5,-190,5,6.5,5,213,212.5,5,104
130,20220130,524,H,Orlando,23,41,27,19,110,213,212.5,170,104,6.5,5,213,212.5,5,104
130,20220130,525,V,Utah,20,28,27,31,106,1,228,115,116.5,1,2,227,228,1,116.5
130,20220130,526,H,Minnesota,26,26,40,34,126,227,2,-135,1,1,2,227,228,1,116.5
130,20220130,527,V,SanAntonio,31,24,36,19,110,232,230,650,111.5,8.5,13.5,232,230,10.5,111.5
130,20220130,528,H,Phoenix,23,27,29,36,115,8.5,13.5,-1000,10.5,8.5,13.5,232,230,10.5,111.5
131,20220131,529,V,NewOrleans,19,20,27,24,90,210.5,207,170,106,8,4.5,210.5,207,3,106
131,20220131,530,H,Cleveland,17,21,22,33,93,8,4.5,-190,3,8,4.5,210.5,207,3,106
131,20220131,531,V,Memphis,30,28,22,31,119,219,3.5,-160,3.5,3.5,3.5,219,217.5,3.5,112.5
131,20220131,532,H,Philadelphia,39,24,21,27,122,3.5,217.5,140,112.5,3.5,3.5,219,217.5,3.5,112.5
131,20220131,533,V,LAClippers,27,28,30,31,116,220,224.5,-110,1,2,0,220,224.5,1,115
131,20220131,534,H,Indiana,30,30,24,38,122,2,0,-110,115,2,0,220,224.5,1,115
131,20220131,535,V,Sacramento,23,18,25,30,96,214.5,212,245,0.5,5,7,214.5,212,0.5,102
131,20220131,536,H,NewYork,31,23,30,32,116,5,7,-290,102,5,7,214.5,212,0.5,102
131,20220131,537,V,Miami,14,31,25,22,92,209.5,208.5,210,101,3,6.5,209.5,208.5,1,101
131,20220131,538,H,Boston,27,27,40,28,122,3,6.5,-250,1,3,6.5,209.5,208.5,1,101
131,20220131,539,V,GoldenState,23,38,26,35,122,11,10,-500,3,11,10,230.5,231.5,3,113
131,20220131,540,H,Houston,25,27,26,30,108,230.5,231.5,400,113,11,10,230.5,231.5,3,113
131,20220131,541,V,Portland,31,16,14,20,81,4,3.5,-160,103.5,4,3.5,218.5,214.5,0.5,103.5
131,20220131,542,H,OklahomaCity,19,20,26,33,98,218.5,214.5,140,0.5,4,3.5,218.5,214.5,0.5,103.5
131,20220131,593,V,Toronto,25,23,32,26,106,219,2.5,-135,3,2,2.5,219,212.5,3,104
131,20220131,594,H,Atlanta,24,33,15,28,100,2,212.5,115,104,2,2.5,219,212.5,3,104
201,20220201,543,V,NewOrleans,31,26,27,27,111,214.5,2.5,-140,3.5,2,2.5,214.5,218,3.5,111
201,20220201,544,H,Detroit,33,32,22,14,101,2,218,120,111,2,2.5,214.5,218,3.5,111
201,20220201,545,V,Washington,20,20,33,25,98,225.5,228.5,500,110.5,11.5,11.5,225.5,228.5,3.5,110.5
201,20220201,546,H,Milwaukee,24,29,25,34,112,11.5,11.5,-700,3.5,11.5,11.5,225.5,228.5,3.5,110.5
201,20220201,549,V,Denver,28,23,27,37,115,232,228.5,105,5,3,1.5,232,228.5,5,110.5
201,20220201,550,H,Minnesota,30,39,31,30,130,3,1.5,-125,110.5,3,1.5,232,228.5,5,110.5
201,20220201,551,V,Orlando,33,30,31,21,115,220.5,223,300,115.5,10.5,8,220.5,223,2.5,115.5
201,20220201,552,H,Chicago,34,36,33,23,126,10.5,8,-360,2.5,10.5,8,220.5,223,2.5,115.5
201,20220201,553,V,GoldenState,30,31,28,35,124,2.5,219,210,107.5,2.5,6.5,226.5,219,1.5,107.5
201,20220201,554,H,SanAntonio,36,33,35,16,120,226.5,6.5,-250,1.5,2.5,6.5,226.5,219,1.5,107.5
201,20220201,555,V,Brooklyn,29,29,24,29,111,227,230,240,113,7,7,227,230,2,113
